      h	         PtP-F	     PtP - F3p	       PtS - F	       PtS - C	       PtS - B	       PtK - B	     PtK - B3p
+1e-01	+1.24974e-02	+1.56185e-05	+8.68970e-03	+1.47295e-04	+8.98429e-03	+2.08307e-04	+4.16302e-04
+1e-02	+1.25000e-03	+1.56249e-08	+8.82408e-04	+1.47314e-06	+8.85355e-04	+2.08333e-06	+4.16663e-06
+1e-03	+1.25000e-04	+1.55431e-11	+8.83736e-05	+1.47314e-08	+8.84031e-05	+2.08334e-08	+4.16668e-08
+1e-04	+1.25000e-05	+0.00000e+00	+8.83869e-06	+1.47425e-10	+8.83898e-06	+2.07278e-10	+4.20669e-10
+1e-05	+1.25000e-06	+0.00000e+00	+8.83886e-07	+1.43080e-12	+8.83889e-07	+1.19216e-12	+2.58118e-11
+1e-06	+1.25011e-07	+0.00000e+00	+8.83446e-08	+2.91863e-11	+8.84029e-08	+6.98679e-11	+3.64650e-10
+1e-07	+1.22125e-08	+5.55112e-10	+9.29669e-09	+4.14903e-10	+8.46688e-09	+8.18290e-10	+9.15422e-11
+1e-08	+0.00000e+00	+0.00000e+00	+4.02599e-09	+4.02599e-09	+4.02599e-09	+3.03874e-09	+1.53310e-08
+1e-09	+0.00000e+00	+0.00000e+00	+1.81785e-08	+1.81785e-08	+1.81785e-08	+4.13702e-08	+2.25067e-07
+1e-10	+0.00000e+00	+0.00000e+00	+4.62268e-07	+9.28438e-08	+6.47955e-07	+4.13702e-08	+1.87834e-06
