      h	         PtP-F	     PtP - F3p	       PtS - F	       PtS - C	       PtS - B	       PtK - B	     PtK - B3p
+1e-01	+1.24973e-02	+1.54972e-05	+8.68967e-03	+1.47313e-04	+8.98430e-03	+2.08765e-04	+4.13954e-04
+1e-02	+1.25170e-03	+2.98023e-06	+8.79645e-04	+2.50340e-06	+8.84652e-04	+2.59280e-06	+9.47714e-06
+1e-03	+1.19209e-04	+0.00000e+00	+8.09431e-05	+8.46386e-06	+9.78708e-05	+3.62694e-05	+2.26915e-04
+1e-04	+0.00000e+00	+0.00000e+00	+9.78708e-05	+9.78708e-05	+9.78708e-05	+5.13107e-04	+2.42046e-03
+1e-05	+0.00000e+00	+0.00000e+00	+1.88601e-03	+1.88601e-03	+1.88601e-03	+6.78957e-04	+1.24344e-02
+1e-06	+0.00000e+00	+0.00000e+00	+4.07445e-03	+4.07445e-03	+4.07445e-03	+2.31629e-02	+1.54297e-01
+1e-07	+0.00000e+00	+0.00000e+00	+2.42493e-01	+2.42493e-01	+2.42493e-01	+5.00000e-01	+2.40739e+00
+1e-08	+0.00000e+00	+0.00000e+00	+3.53553e-01	+3.53553e-01	+3.53553e-01	+5.00000e-01	+1.36134e+01
+1e-09	+0.00000e+00	+0.00000e+00	+3.53553e-01	+3.53553e-01	+3.53553e-01	+5.00000e-01	+1.31634e+02
+1e-10	+0.00000e+00	+0.00000e+00	+3.53553e-01	+3.53553e-01	+3.53553e-01	+5.00000e-01	+1.31184e+03
